STATE/UT,PlaceOfOccurrence,Dacoity,Robbery,Burglary,Theft
Daman & Diu,TOTAL (MANUAL),34,23,480,564
Daman & Diu,TOTAL COMPUTER FROM 1 TO 7,9,4,147,191
Delhi UT,BANKS,3,3,14,138
Delhi UT,COMMERCIAL ESTABLISHMENTS,63,453,3887,16116
Delhi UT,HIGH-WAY,17,371,0,1128
Delhi UT,OTHER PLACES,144,4452,3496,147093
Delhi UT,OTHERS RLY.,4,60,9,7856
Delhi UT,RAILWAYS,9,90,9,10304
Delhi UT,RESIDENTIAL PREMISES,145,1092,16149,56767
Delhi UT,RIVER & SEA,0,0,0,0
Delhi UT,RUNNING TRAINS,5,30,0,2448
Delhi UT,TOTAL (MANUAL),381,6461,23555,231546
Delhi UT,TOTAL COMPUTER FROM 1 TO 7,202,3226,13021,110299
Goa,BANKS,0,5,53,22
Goa,COMMERCIAL ESTABLISHMENTS,6,27,1012,793
Goa,HIGH-WAY,7,40,0,88
Goa,OTHER PLACES,17,162,646,5825
Goa,OTHERS RLY.,1,2,2,49
Goa,RAILWAYS,1,3,2,121
Goa,RESIDENTIAL PREMISES,24,58,1987,1182
Goa,RIVER & SEA,0,3,0,14
Goa,RUNNING TRAINS,0,1,0,72
Goa,TOTAL (MANUAL),55,298,3700,8045
Goa,TOTAL COMPUTER FROM 1 TO 7,20,93,1294,2137
Gujarat,BANKS,15,28,268,236
Gujarat,COMMERCIAL ESTABLISHMENTS,445,963,10782,25015
Gujarat,HIGH-WAY,528,1039,70,1470
Gujarat,OTHER PLACES,1621,9578,12902,131614
Gujarat,OTHERS RLY.,12,170,2,4324
Gujarat,RAILWAYS,59,514,28,8107
Gujarat,RESIDENTIAL PREMISES,1166,2245,36635,46649
Gujarat,RIVER & SEA,8,16,4,116
Gujarat,RUNNING TRAINS,47,344,26,3783
Gujarat,TOTAL (MANUAL),3842,14383,60689,213207
Gujarat,TOTAL COMPUTER FROM 1 TO 7,2038,5688,26340,84796
Haryana,BANKS,15,57,278,303
Haryana,COMMERCIAL ESTABLISHMENTS,91,490,9135,20822
Haryana,HIGH-WAY,349,1088,282,3960
Haryana,OTHER PLACES,669,3377,5557,69770
Haryana,OTHERS RLY.,7,100,83,3068
Haryana,RAILWAYS,25,137,87,4209
Haryana,RESIDENTIAL PREMISES,225,716,31165,32329
Haryana,RIVER & SEA,1,6,0,1
Haryana,RUNNING TRAINS,18,37,4,1141
Haryana,TOTAL (MANUAL),1375,5871,46504,131394
Haryana,TOTAL COMPUTER FROM 1 TO 7,432,1779,14656,37992
Himachal Pradesh,BANKS,3,8,180,41
Himachal Pradesh,COMMERCIAL ESTABLISHMENTS,6,17,2101,874
Himachal Pradesh,HIGH-WAY,6,33,0,348
Himachal Pradesh,OTHER PLACES,24,147,2843,7229
Himachal Pradesh,OTHERS RLY.,0,1,0,0
Himachal Pradesh,RAILWAYS,0,1,0,10
Himachal Pradesh,RESIDENTIAL PREMISES,6,30,4565,1155
Himachal Pradesh,RIVER & SEA,0,0,0,1
Himachal Pradesh,RUNNING TRAINS,0,0,0,10
Himachal Pradesh,TOTAL (MANUAL),45,236,9689,9658
Himachal Pradesh,TOTAL COMPUTER FROM 1 TO 7,11,78,3178,2629
Jammu & Kashmir,BANKS,13,34,45,6
Jammu & Kashmir,COMMERCIAL ESTABLISHMENTS,6,86,3653,2874
Jammu & Kashmir,HIGH-WAY,3,23,40,291
Jammu & Kashmir,OTHER PLACES,78,781,4178,15801
Jammu & Kashmir,OTHERS RLY.,0,10,80,665
Jammu & Kashmir,RAILWAYS,0,10,80,675
Jammu & Kashmir,RESIDENTIAL PREMISES,88,378,9054,6024
Jammu & Kashmir,RIVER & SEA,0,0,0,96
Jammu & Kashmir,RUNNING TRAINS,0,0,0,10
Jammu & Kashmir,TOTAL (MANUAL),188,1312,17050,25767
Jammu & Kashmir,TOTAL COMPUTER FROM 1 TO 7,108,675,6984,9811
Jharkhand,BANKS,85,91,14,211
Jharkhand,COMMERCIAL ESTABLISHMENTS,163,395,1148,9924
Jharkhand,HIGH-WAY,1971,4105,47,3131
Jharkhand,OTHER PLACES,740,1708,1397,22572
Jharkhand,OTHERS RLY.,79,179,60,1778
Jharkhand,RAILWAYS,190,280,60,3147
Jharkhand,RESIDENTIAL PREMISES,2757,2124,14014,32328
Jharkhand,RIVER & SEA,0,8,0,9
Jharkhand,RUNNING TRAINS,111,101,0,1369
Jharkhand,TOTAL (MANUAL),5906,8711,16680,71322
Jharkhand,TOTAL COMPUTER FROM 1 TO 7,284,494,1216,6680
Karnataka,BANKS,20,124,510,704
Karnataka,COMMERCIAL ESTABLISHMENTS,147,708,12051,21616
Karnataka,HIGH-WAY,317,734,401,1809
Karnataka,OTHER PLACES,1356,12346,12650,120166
Karnataka,OTHERS RLY.,10,108,113,1766
Karnataka,RAILWAYS,29,274,118,5535
Karnataka,RESIDENTIAL PREMISES,710,3098,47568,50098
Karnataka,RIVER & SEA,2,3,0,32
Karnataka,RUNNING TRAINS,19,166,5,3769
Karnataka,TOTAL (MANUAL),2581,17287,73298,199960
Karnataka,TOTAL COMPUTER FROM 1 TO 7,419,3409,11778,35426
Kerala,BANKS,7,21,267,71
Kerala,COMMERCIAL ESTABLISHMENTS,175,520,8288,4533
Kerala,HIGH-WAY,134,365,104,1067
Kerala,OTHER PLACES,759,5467,12314,37218
Kerala,OTHERS RLY.,2,15,21,559
Kerala,RAILWAYS,3,48,24,2296
Kerala,RESIDENTIAL PREMISES,282,1907,25373,17123
Kerala,RIVER & SEA,4,1,1,45
Kerala,RUNNING TRAINS,1,33,3,1737
Kerala,TOTAL (MANUAL),1364,8329,46371,62353
Kerala,TOTAL COMPUTER FROM 1 TO 7,358,1863,11294,14973
Lakshadweep,BANKS,0,0,1,1
Lakshadweep,COMMERCIAL ESTABLISHMENTS,0,0,6,31
Lakshadweep,HIGH-WAY,0,0,0,0
Lakshadweep,OTHER PLACES,1,0,11,30
Lakshadweep,OTHERS RLY.,0,0,0,0
Lakshadweep,RAILWAYS,0,0,0,0
Lakshadweep,RESIDENTIAL PREMISES,2,0,18,50
Lakshadweep,RIVER & SEA,0,0,0,1
Lakshadweep,RUNNING TRAINS,0,0,0,0
Lakshadweep,TOTAL (MANUAL),3,0,36,113
Lakshadweep,TOTAL COMPUTER FROM 1 TO 7,0,0,12,32
Madhya Pradesh,BANKS,11,63,193,266
Madhya Pradesh,COMMERCIAL ESTABLISHMENTS,113,650,14999,25211
Madhya Pradesh,HIGH-WAY,249,2909,205,6662
Madhya Pradesh,OTHER PLACES,683,15345,21316,119995
Madhya Pradesh,OTHERS RLY.,4,239,112,6664
Madhya Pradesh,RAILWAYS,24,488,115,18381
Madhya Pradesh,RESIDENTIAL PREMISES,572,2819,100474,92834
Madhya Pradesh,RIVER & SEA,3,40,44,511
Madhya Pradesh,RUNNING TRAINS,20,249,3,11717
Madhya Pradesh,TOTAL (MANUAL),1655,22314,137346,263860
Madhya Pradesh,TOTAL COMPUTER FROM 1 TO 7,313,3321,24741,40948
Maharashtra,BANKS,50,125,1153,1242
Maharashtra,COMMERCIAL ESTABLISHMENTS,641,1957,33323,42434
Maharashtra,HIGH-WAY,933,3570,185,5043
Maharashtra,OTHER PLACES,4530,26581,33483,368305
Maharashtra,OTHERS RLY.,31,717,119,19906
Maharashtra,RAILWAYS,149,1251,125,36957
Maharashtra,RESIDENTIAL PREMISES,1860,4221,117344,102193
Maharashtra,RIVER & SEA,12,14,4,633
Maharashtra,RUNNING TRAINS,118,534,6,17051
Maharashtra,TOTAL (MANUAL),8175,37719,185617,556807
Maharashtra,TOTAL COMPUTER FROM 1 TO 7,3043,11913,75055,214281
Manipur,BANKS,0,0,1,6
Manipur,COMMERCIAL ESTABLISHMENTS,0,1,341,813
Manipur,HIGH-WAY,26,28,7,362
Manipur,OTHER PLACES,17,44,171,2605
Manipur,OTHERS RLY.,0,0,0,0
Manipur,RAILWAYS,0,0,0,0
Manipur,RESIDENTIAL PREMISES,5,10,235,1043
Manipur,RIVER & SEA,0,0,0,5
Manipur,RUNNING TRAINS,0,0,0,0
Manipur,TOTAL (MANUAL),48,83,755,4834
Manipur,TOTAL COMPUTER FROM 1 TO 7,35,36,258,1615
Meghalaya,BANKS,2,1,5,0
Meghalaya,COMMERCIAL ESTABLISHMENTS,59,78,212,648
Meghalaya,HIGH-WAY,265,306,11,194
Meghalaya,OTHER PLACES,264,398,630,3129
Meghalaya,OTHERS RLY.,0,0,0,0
Meghalaya,RAILWAYS,0,0,0,0
Meghalaya,RESIDENTIAL PREMISES,208,189,1030,2031
Meghalaya,RIVER & SEA,0,0,0,2
Meghalaya,RUNNING TRAINS,0,0,0,0
Meghalaya,TOTAL (MANUAL),798,972,1888,6004
Meghalaya,TOTAL COMPUTER FROM 1 TO 7,377,508,777,2042
Mizoram,BANKS,0,0,2,0
Mizoram,COMMERCIAL ESTABLISHMENTS,2,0,887,1935
Mizoram,HIGH-WAY,13,46,126,170
Mizoram,OTHER PLACES,13,41,1032,3160
Mizoram,OTHERS RLY.,0,0,0,13
Mizoram,RAILWAYS,0,0,0,13
Mizoram,RESIDENTIAL PREMISES,10,24,2701,4518
Mizoram,RIVER & SEA,7,3,0,7
Mizoram,RUNNING TRAINS,0,0,0,0
Mizoram,TOTAL (MANUAL),45,114,4748,9803
Mizoram,TOTAL COMPUTER FROM 1 TO 7,13,54,1693,3563
Nagaland,BANKS,1,6,2,33
Nagaland,COMMERCIAL ESTABLISHMENTS,9,103,249,704
Nagaland,HIGH-WAY,52,337,11,242
Nagaland,OTHER PLACES,31,335,353,1209
Nagaland,OTHERS RLY.,1,13,1,11
Nagaland,RAILWAYS,1,13,1,13
Nagaland,RESIDENTIAL PREMISES,31,248,530,1601
Nagaland,RIVER & SEA,0,0,0,0
Nagaland,RUNNING TRAINS,0,0,0,2
Nagaland,TOTAL (MANUAL),125,1042,1146,3802
Nagaland,TOTAL COMPUTER FROM 1 TO 7,64,465,544,1411
Odisha,BANKS,87,69,260,91
Odisha,COMMERCIAL ESTABLISHMENTS,382,1445,5843,7925
Odisha,HIGH-WAY,735,4403,179,1429
Odisha,OTHER PLACES,1078,6018,7930,44309
Odisha,OTHERS RLY.,19,329,94,2707
Odisha,RAILWAYS,32,400,94,6385
Odisha,RESIDENTIAL PREMISES,1067,2366,22199,22640
Odisha,RIVER & SEA,0,4,0,58
Odisha,RUNNING TRAINS,13,71,0,3678
Odisha,TOTAL (MANUAL),3381,14705,36505,82837
Odisha,TOTAL COMPUTER FROM 1 TO 7,1514,6734,18497,40041
Puducherry,BANKS,0,0,0,0
Puducherry,COMMERCIAL ESTABLISHMENTS,6,10,280,445
Puducherry,HIGH-WAY,0,0,0,0
Puducherry,OTHER PLACES,22,61,129,5981
Puducherry,OTHERS RLY.,0,0,0,0
Puducherry,RAILWAYS,0,0,0,0
Puducherry,RESIDENTIAL PREMISES,10,18,655,939
Puducherry,RIVER & SEA,0,0,0,1
Puducherry,RUNNING TRAINS,0,0,0,0
Puducherry,TOTAL (MANUAL),38,89,1064,7366
Puducherry,TOTAL COMPUTER FROM 1 TO 7,11,42,510,2745
Punjab,BANKS,17,53,351,208
Punjab,COMMERCIAL ESTABLISHMENTS,49,228,6388,7446
Punjab,HIGH-WAY,34,163,22,1753
Punjab,OTHER PLACES,250,1058,6508,27169
Punjab,OTHERS RLY.,1,10,4,366
Punjab,RAILWAYS,3,12,4,499
Punjab,RESIDENTIAL PREMISES,107,314,14348,13421
Punjab,RIVER & SEA,0,0,0,7
Punjab,RUNNING TRAINS,2,2,0,133
Punjab,TOTAL (MANUAL),460,1828,27621,50503
Punjab,TOTAL COMPUTER FROM 1 TO 7,120,429,6663,11219
Rajasthan,BANKS,2,30,281,11
Rajasthan,COMMERCIAL ESTABLISHMENTS,47,225,15034,12556
Rajasthan,HIGH-WAY,136,769,0,1452
Rajasthan,OTHER PLACES,279,7723,11200,180296
Rajasthan,OTHERS RLY.,3,22,6,1990
Rajasthan,RAILWAYS,16,52,6,5985
Rajasthan,RESIDENTIAL PREMISES,83,272,38747,32628
Rajasthan,RIVER & SEA,0,0,0,46
Rajasthan,RUNNING TRAINS,13,30,0,3995
Rajasthan,TOTAL (MANUAL),563,9071,65268,232974
Rajasthan,TOTAL COMPUTER FROM 1 TO 7,215,3675,29854,90920
Sikkim,BANKS,0,0,12,9
Sikkim,COMMERCIAL ESTABLISHMENTS,0,4,99,88
Sikkim,HIGH-WAY,1,3,0,33
Sikkim,OTHER PLACES,2,33,159,388
Sikkim,OTHERS RLY.,0,2,0,0
Sikkim,RAILWAYS,0,2,0,0
Sikkim,RESIDENTIAL PREMISES,3,22,607,501
Sikkim,RIVER & SEA,0,0,0,0
Sikkim,RUNNING TRAINS,0,0,0,0
Sikkim,TOTAL (MANUAL),6,64,877,1019
Sikkim,TOTAL COMPUTER FROM 1 TO 7,5,28,421,528
Tamil Nadu,BANKS,6,18,207,148
Tamil Nadu,COMMERCIAL ESTABLISHMENTS,80,753,6278,26134
Tamil Nadu,HIGH-WAY,216,920,37,4304
Tamil Nadu,OTHER PLACES,505,6572,11207,105059
Tamil Nadu,OTHERS RLY.,8,120,47,1422
Tamil Nadu,RAILWAYS,14,245,47,2956
Tamil Nadu,RESIDENTIAL PREMISES,414,2752,35562,46398
Tamil Nadu,RIVER & SEA,2,12,1,161
Tamil Nadu,RUNNING TRAINS,6,125,0,1534
Tamil Nadu,TOTAL (MANUAL),1237,11272,53339,185160
Tamil Nadu,TOTAL COMPUTER FROM 1 TO 7,599,4174,24542,81524
Tripura,BANKS,14,28,23,116
Tripura,COMMERCIAL ESTABLISHMENTS,5,86,371,790
Tripura,HIGH-WAY,7,25,0,21
Tripura,OTHER PLACES,47,255,443,1246
Tripura,OTHERS RLY.,0,0,37,60
Tripura,RAILWAYS,1,0,37,62
Tripura,RESIDENTIAL PREMISES,152,383,1530,2388
Tripura,RIVER & SEA,0,0,0,0
Tripura,RUNNING TRAINS,1,0,0,2
Tripura,TOTAL (MANUAL),226,777,2404,4623
